unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text,type
"B00006HYUB:everyone_should_own_one:d._john_""looser""",B00006HYUB,APC Back-UPS ES 500 Backup Battery and Surge Protector: Electronics,electronics,3 of 3,5.0,Everyone should own one,"July 31, 2006","D. John ""Looser""",PA,"I purchased this unit due to frequent blackouts in my area and 2 power supplies going bad.  It will run my cable modem, router, PC, and LCD monitor for 5 minutes.  This is more than enough time to save work and shut down.   Equally important, I know that my electronics are receiving clean power.

I feel that this investment is minor compared to the loss of valuable data or the failure of equipment due to a power spike or an irregular power supply.

As always, Amazon had it to me in &lt;2 business days",1
B00006HYUB:breif_review:scott_park,B00006HYUB,APC Back-UPS ES 500 Backup Battery and Surge Protector: Electronics,electronics,11 of 12,5.0,Breif Review,"September 26, 2005",Scott Park,"New York, NY USA","I ordered 3 APC Back-UPS ES 500s on the recommendation of an employee of mine who used to work at APC. I've had them for about a month now without any problems. They've functioned properly through a few unexpected power interruptions. I'll gladly order more if the need arises.

Pros:
 - Large plug spacing, good for power adapters
 - Simple design
 - Long cord

Cons:
 - No line conditioning (usually an expensive option",1
"B00006HYUB:works_fine.:dee_richards_""deeanalyst""",B00006HYUB,APC Back-UPS ES 500 Backup Battery and Surge Protector: Electronics,electronics,0 of 2,4.0,Works fine.,"September 15, 2005","Dee Richards ""deeanalyst""","Mobile, AL","Wish the unit had a separate online/offline light.  When power to the unit is missing, the single red light turns off only when the warning sounds.  The warning sound is like a lot of sounds you hear in the house so it isn't always easy to tell what is happening",1
"B000067VBM:affordable_and_effective:jason_dickson_""needs_more_money""",B000067VBM,50-pack Slim CD/DVD Jewel Cases (5mm) Clear: Electronics,electronics,4 of 4,5.0,Affordable and effective,"July 7, 2005","Jason Dickson ""Needs More Money""","Maryville, TN USA","Cheaper than thick CD cases and less prone to breakage, these ""slim"" cases by Memorex protect your CDs. Most buyers will get them  for use in CD or DVD burning, and these are an affordable choice from a quality company for that purpose.

You may want to consider larger cases depending on your tastes, but otherwise these will probably satisfy your needs",1
B00008SCFU:it_is_a_good_product_:kiran_k._singarapu,B00008SCFU,Kingston 256 MB Secure Digital Card ( SD/256 ): Electronics,electronics,,5.0,It is a good product,"February 24, 2006",Kiran K. Singarapu,,"Hi

I brought 256 MB Kingston SD card from Amazon.com recently. According to my openion Amazon is one of the best online shopping market, they deliver the products intime and the items i brought so far are working very well. 256 MB Kingston SD card working very good with out giving any problem. 
One can always go to Amazon for online shopping.
bye
kira",1
B0007P4G76:perfect:r._johnson,B0007P4G76,Xtreme TB264DKO 264-Disc CD/DVD Case: Electronics,electronics,2 of 6,5.0,perfect,"March 18, 2006",R. Johnson,Chicago,"This product was perfect. it's a sturdy case that holds my large collection of cd's and dvd's.

My other cases were flimsy and wore out fast. This one has a hard outside shell and the inside holds my dvd's nicely.

So i have no complaints. and at the price i paid i'd say this was a great deal",1
B0000DK3I4:kingston_1gb_sd_card_review:eugene_ong,B0000DK3I4,Kingston 512 MB Secure Digital Card (SD/512): Electronics,electronics,1 of 1,5.0,Kingston 1GB SD Card Review,"November 9, 2006",Eugene Ong,,Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.,1
"B0000DK3I4:very_good_sd_card:gabriel_gore_""geebi""",B0000DK3I4,Kingston 512 MB Secure Digital Card (SD/512): Electronics,electronics,,5.0,Very good SD Card,"November 9, 2006","Gabriel Gore ""geebi""","Algood, TN","I like it very much, I use it in an outdoor trail camera for wild game and it hold several pictures and has been in the camera in all kinds of weather. I would buy Kingston again",1
B0002MSTWC:flash_card:allen_l._mccartney,B0002MSTWC,Lexar Media 512 MB 80x Pro Series Compact Flash Card (CF512-80-380): Electronics,electronics,,5.0,Flash Card,"August 18, 2005",Allen L. Mccartney,"Elk Grove, CA","I had no problems with this card and the delivery was prompt...

Thank You Muc",1
B0002MSTWC:works_great_for_me!:robert_farlee,B0002MSTWC,Lexar Media 512 MB 80x Pro Series Compact Flash Card (CF512-80-380): Electronics,electronics,,5.0,Works great for me!,"July 8, 2005",Robert Farlee,"Minneapolis, MN USA","After going through the reviews, I bought this CF card for my Canon Digital Rebel. So far it has worked fine, though I don't pretend to be an expert digital photographer. When the card is empty, it shows 127 shots available. It seems to read reasonably fast, though it takes a bit longer than I was used to with my point-and-shoot Olympus and its SmartMedia card.",1
